client,insight_category,insight_type,priority,impact_level,station,daypart,metric_type,finding_description,recommendation,action_required,confidence,trend_context,time_based,generated_date
OPOS,key_finding,executive_summary,1,High,,,trend_analysis,Strong engagement trending up: 26.2 visits per spot with 36.8% recent improvement,Key insight: Strong engagement trending up: 26.2 visits per spot with 36.8% recent improvement,leverage_trend,High,significantly_improved,yes,2025-06-30
OPOS,key_finding,executive_summary,2,High,,,trend_analysis,"Top station LMN accelerating: 6,564 visits from 151 spots with improving trends","Key insight: Top station LMN accelerating: 6,564 visits from 151 spots with improving trends",leverage_trend,High,significantly_improved,yes,2025-06-30
OPOS,key_finding,executive_summary,3,High,,,trend_analysis,WK daypart strengthening: 46.4 visits per spot and improving,Key insight: WK daypart strengthening: 46.4 visits per spot and improving,leverage_trend,High,significantly_improved,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,LMN,,high_volume_high_efficiency,LMN shows improving trend: 31.4 recent vs 43.5 overall,Continue scaling LMN - consistent high performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,LIFE,,high_volume_high_efficiency,LIFE shows improving trend: 31.4 recent vs 45.5 overall,Continue scaling LIFE - consistent high performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,WE,,high_volume_high_efficiency,WE shows improving trend: 31.4 recent vs 21.8 overall,Continue scaling WE - consistent high performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,TLC,,high_volume_high_efficiency,TLC shows improving trend: 31.4 recent vs 42.0 overall,Continue scaling TLC - consistent high performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,TBS,,improving_trend,TBS shows improving trend: 31.4 recent vs 11.3 overall,Scale TBS immediately - showing strong improvement trend,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,AMC,,improving_trend,AMC shows improving trend: 31.4 recent vs 12.7 overall,Scale AMC immediately - showing strong improvement trend,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,GAME,,improving_trend,GAME shows improving trend: 31.4 recent vs 20.7 overall,Scale GAME immediately - showing strong improvement trend,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,AEN,,improving_trend,AEN shows improving trend: 31.4 recent vs 34.3 overall,Scale AEN immediately - showing strong improvement trend,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,OXY,,improving_trend,OXY shows improving trend: 31.4 recent vs 35.3 overall,Scale OXY immediately - showing strong improvement trend,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,SUNDA,,improving_trend,SUNDA shows improving trend: 31.4 recent vs 33.9 overall,Scale SUNDA immediately - showing strong improvement trend,monitor_closely,Medium,improving,yes,2025-06-30
